PERMNO,date,TICKER,COMNAM,PRIMEXCH,DIVAMT,PRC,VOL,BID,ASK,OPENPRC,NUMTRD,vwretd,ewretd,sprtrn
10107,2013/08/14,MSFT,MICROSOFT CORP,Q,,32.35000,48223960,32.34000,32.35000,32.14000,140948,-0.004085,-0.001067,-0.005177
10107,2013/08/15,MSFT,MICROSOFT CORP,Q,,31.79000,33099990,31.78000,31.79000,32.00000,121987,-0.012960,-0.011149,-0.014282
10107,2013/08/16,MSFT,MICROSOFT CORP,Q,,31.80000,32733721,31.78000,31.79000,31.79000,89212,-0.002934,-0.002099,-0.003305
10107,2013/08/19,MSFT,MICROSOFT CORP,Q,,31.39300,27713801,31.39000,31.40000,31.76000,100737,-0.007096,-0.008153,-0.005900
10107,2013/08/20,MSFT,MICROSOFT CORP,Q,,31.62000,22806582,31.62000,31.63000,31.44000,82818,0.005672,0.008067,0.003821
10107,2013/08/21,MSFT,MICROSOFT CORP,Q,,31.61000,37186927,31.61000,31.62000,31.61000,120082,-0.006159,-0.005252,-0.005780
10107,2013/08/22,MSFT,MICROSOFT CORP,Q,,32.39000,31036265,32.38000,32.39000,32.18500,95832,0.009117,0.010541,0.008619
10107,2013/08/23,MSFT,MICROSOFT CORP,Q,,34.75000,224489098,34.76000,34.77000,35.17000,558213,0.004364,0.003842,0.003947
10107,2013/08/26,MSFT,MICROSOFT CORP,Q,,34.15000,72285047,34.15000,34.16000,34.40000,200619,-0.002840,-0.000002,-0.004040
10107,2013/08/27,MSFT,MICROSOFT CORP,Q,,33.26000,58368940,33.23000,33.24000,33.51500,191880,-0.016293,-0.016842,-0.015874
10107,2013/08/28,MSFT,MICROSOFT CORP,Q,,33.02000,44016567,33.02000,33.03000,33.39000,133542,0.002619,0.002138,0.002748
10107,2013/08/29,MSFT,MICROSOFT CORP,Q,,33.55000,44847446,33.56000,33.57000,32.93000,152169,0.003211,0.005360,0.001963
10107,2013/08/30,MSFT,MICROSOFT CORP,Q,,33.40000,42183464,33.40000,33.41000,33.37000,116921,-0.004821,-0.007727,-0.003174
10107,2013/09/03,MSFT,MICROSOFT CORP,Q,,31.88000,153525608,31.88000,31.89000,31.75000,403135,0.004519,0.004639,0.004164
